image_id,encoded_pixels
0001,1 22 115 9 149 414 655 9 689 414 1195 9 1229 414 1735 9 1769 414 2275 9 2309 414 2815 9 2849 414 3355 9 3389 414 3895 9 3929 414 4435 11 4471 412 4975 11 5011 412 5515 11 5551 412 6055 11 6091 414 6598 6 6631 414 7138 6 7171 414 7678 6 7711 416 8129 2 8167 10 8188 2 8236 5 8251 416 8669 2 8707 10 8728 2 8776 5 8791 416 9209 2 9247 10 9268 2 9316 5 9331 416 9749 2 9787 10 9808 2 9856 5 9871 424 10323 19 10396 7 10413 422 10863 19 10936 7 10953 422 11403 19 11476 7 11493 422 11943 19 12016 7 12033 420 12466 31 12561 2 12578 415 13006 31 13101 2 13118 415 13546 31 13641 2 13658 415 14086 31 14181 2 14198 462 14704 25 14740 10 14752 448 15244 25 15280 10 15292 448 15784 25 15820 10 15832 450 16322 31 16360 10 16374 448 16862 31 16900 10 16914 448 17402 31 17440 10 17454 448 17942 31 17980 10 17994 450 18478 50 18537 16 18570 414 19018 50 19077 16 19110 414 19558 50 19617 16 19650 414 20098 50 20157 16 20190 414 20631 57 20705 4 20732 412 21171 57 21245 4 21272 412 21711 57 21785 4 21812 412 22251 57 22325 4 22352 414 22781 69 22895 411 23321 69 23435 411 23861 69 23975 424 24401 71 24521 418 24941 71 25061 418 25481 71 25601 418 26021 71 26141 418 26561 59 26624 10 26639 2 26694 405 27101 59 27164 10 27179 2 27234 405 27641 59 27704 10 27719 2 27774 405 28181 59 28244 10 28259 2 28314 394 28712 2 28723 57 28782 12 28856 392 29252 2 29263 57 29322 12 29396 392 29792 2 29803 57 29862 12 29936 392 30332 2 30343 57 30402 12 30476 394 30885 36 30923 2 30942 12 31018 392 31425 36 31463 2 31482 12 31558 392 31965 36 32003 2 32022 12 32098 394 32513 23 32564 15 32638 394 33053 23 33104 15 33178 394 33593 23 33644 15 33718 394 34133 23 34184 15 34258 398 34667 27 34734 7 34800 396 35207 27 35274 7 35340 396 35747 27 35814 7 35880 396 36287 27 36354 7 36420 434 36960 434 37500 434 38040 434 38580 436 39120 436 39660 436 40200 451 40740 451 41280 451 41820 451 42360 451 42826 2 42900 451 43366 2 43440 451 43906 2 43980 451 44446 2 44520 436 44984 15 45060 436 45524 15 45600 436 46064 15 46140 436 46604 15 46680 436 47135 5 47146 13 47220 436 47675 5 47686 13 47760 436 48215 5 48226 13 48300 441 48840 441 49380 441 49920 441 50460 447 51000 447 51540 447 52080 447 52620 453 53097 2 53162 451 53637 2 53702 451 54177 2 54242 451 54717 2 54782 453 55257 2 55324 451 55797 2 55864 451 56337 2 56404 451 56944 451 57484 451 58024 451 58564 451 59037 4 59104 451 59577 4 59644 451 60117 4 60184 451 60657 4 60724 454 61194 11 61264 454 61734 11 61804 454 62274 11 62344 454 62814 11 62884 456 63342 4 63354 15 63422 458 63882 4 63894 15 63962 458 64422 4 64434 15 64502 468 64972 21 65042 468 65512 21 65582 468 66052 21 66122 468 66592 21 66662 489 67202 489 67742 489 68282 489 68822 487 69360 489 69900 489 70440 489 70980 489 71520 489 72060 489 72600 489 73138 491 73678 491 74218 491 74758 489 75298 489 75838 489 76378 489 76918 487 77458 487 77998 487 78538 487 79078 487 79616 489 80156 489 80696 407 81105 82 81234 409 81645 82 81774 409 82185 82 82314 409 82725 82 82854 497 83391 500 83931 500 84471 500 85011 500 85549 502 86089 502 86629 502 87169 502 87709 502 88249 502 88789 507 89327 509 89867 509 90407 509 90947 511 91485 513 92025 513 92565 513 93105 511 93628 11 93643 513 94168 11 94183 513 94708 11 94723 513 95248 11 95263 515 95782 536 96322 536 96862 4856 101720 538 102260 538 102800 538 103340 2166 105510 536 106050 536 106590 536 107130 4850 111984 536 112524 536 113064 534 113602 536 114142 536 114682 536 115222 536 115760 538 116300 538 116840 538 117380 2674 120057 23 120082 512 120597 23 120622 512 121137 23 121162 510 121679 21 121702 510 122219 21 122242 510 122759 21 122782 510 123299 21 123322 510 123839 21 123862 510 124379 21 124402 510 124919 21 124942 510 125459 21 125482 510 125999 533 126539 533 127079 533 127619 535 128157 537 128697 537 129237 15098 144342 533 144882 533 145422 527 145962 527 146502 527 147042 527 147582 525 148118 529 148658 529 149198 529 149738 12413 162153 538 162693 538 163233 538 163773 536 164313 536 164853 536 165393 536 165933 534 166475 532 167015 532 167555 532 168095 530 168635 530 169175 530 169715 492 170209 38 170253 494 170749 38 170793 494 171289 38 171333 494 171829 38 171873 2688 174563 538 175103 538 175643 538 176183 536 176725 534 177265 534 177805 531 178347 529 178887 529 179427 529 179967 529 180509 527 181049 527 181589 527 182129 534 182669 534 183209 534 183749 534 184289 6455 190748 536 191288 536 191828 536 192368 536 192908 536 193448 536 193988 154415 348407 536 348947 536 349487 536 350027 6480 356513 534 357053 534 357593 534 358133 536 358671 538 359211 538 359751 538 360291 28618 388913 19 388939 510 389453 19 389479 510 389993 19 390019 510 390533 19 390559 506 391073 19 391101 504 391613 19 391641 504 392153 19 392181 504 392693 19 392721 502 393231 21 393261 502 393771 21 393801 502 394311 21 394341 502 394851 21 394881 533 395419 535 395959 535 396499 121902
0002,1 72 118 69 206 407 658 69 746 407 1198 69 1286 407 1738 69 1826 407 2278 71 2368 405 2818 71 2908 405 3358 71 3448 405 3898 71 3988 409 4438 73 4518 4 4528 409 4978 73 5058 4 5068 409 5518 73 5598 4 5608 409 6058 73 6138 4 6148 409 6595 68 6688 409 7135 68 7228 409 7675 68 7768 409 8196 85 8308 409 8736 85 8848 409 9276 85 9388 409 9816 85 9928 412 10350 93 10470 410 10890 93 11010 410 11430 93 11550 410 11970 93 12090 513 12630 513 13170 513 13710 513 14250 513 14792 511 15332 511 15872 511 16412 13 16427 496 16952 13 16967 496 17492 13 17507 496 18032 13 18047 496 18572 11 18589 494 19112 11 19129 494 19652 11 19669 494 20192 11 20209 464 20680 23 20751 462 21220 23 21291 462 21760 23 21831 462 22300 23 22371 460 22844 21 22911 460 23384 21 23451 460 23924 21 23991 397 24396 49 24455 28 24536 392 24936 49 24995 28 25076 392 25476 49 25535 28 25616 392 26016 49 26075 28 26156 394 26561 44 26615 24 26704 386 27101 44 27155 24 27244 386 27641 44 27695 24 27784 386 28181 44 28235 24 28324 390 28721 46 28792 7 28864 390 29261 46 29332 7 29404 390 29801 46 29872 7 29944 390 30341 46 30412 7 30484 447 30952 7 31026 445 31492 7 31566 445 32032 7 32106 439 32551 2 32560 4 32570 9 32648 437 33091 2 33100 4 33110 9 33188 437 33631 2 33640 4 33650 9 33728 437 34171 2 34180 4 34190 9 34268 439 34713 2 34720 21 34810 437 35253 2 35260 21 35350 437 35793 2 35800 21 35890 437 36333 2 36340 21 36430 439 36871 4 36882 8 36892 11 36973 436 37411 4 37422 8 37432 11 37513 436 37951 4 37962 8 37972 11 38053 436 38491 4 38502 8 38512 11 38593 442 39042 8 39052 11 39133 442 39582 8 39592 11 39673 442 40122 8 40132 11 40213 436 40662 19 40750 439 41202 19 41290 439 41742 19 41830 439 42282 19 42370 441 42822 19 42910 441 43362 19 43450 441 43902 19 43990 441 44442 19 44530 443 44992 13 45070 443 45532 13 45610 443 46072 13 46150 443 46612 13 46690 443 47152 13 47228 445 47692 13 47768 445 48232 13 48308 447 48772 13 48848 447 49312 13 49388 447 49852 13 49928 447 50392 13 50468 445 50932 19 51006 447 51472 19 51546 447 52012 19 52086 447 52552 19 52626 452 53090 23 53166 452 53630 23 53706 452 54170 23 54246 452 54710 23 54786 460 55248 23 55326 460 55788 23 55866 460 56328 23 56406 483 56946 483 57486 483 58026 483 58566 481 59106 481 59646 481 60186 481 60726 483 61266 483 61806 483 62346 483 62886 483 63426 483 63966 483 64506 485 65044 487 65584 487 66124 487 66664 489 67202 491 67742 491 68282 491 68822 494 69358 498 69898 498 70438 498 70978 498 71518 498 72058 498 72598 500 73136 502 73676 502 74216 502 74756 510 75294 512 75834 512 76374 512 76914 512 77437 4 77451 515 77977 4 77991 515 78517 4 78531 515 79057 4 79071 532 79609 534 80149 534 80689 267712 348405 536 348945 536 349485 536 350025 534 350565 534 351105 534 351645 534 352185 4316 356505 536 357045 536 357585 536 358125 531 358667 529 359207 529 359747 529 360287 532 360825 534 361365 534 361905 534 362445 28622 391069 23 391096 511 391609 23 391636 511 392149 23 392176 511 392689 23 392716 532 393259 529 393799 529 394339 529 394879 529 395419 529 395959 529 396499 531 397043 527 397583 527 398123 527 398663 527 399201 529 399741 529 400281 529 400821 35066 435891 536 436431 536 436971 8657 445634 534 446174 534 446714 534 447254 534 447794 534 448334 534 448874 534 449414 4289 453709 534 454249 534 454789 534 455329 63072
0003,1 12657 12666 532 13206 532 13746 532 14286 530 14830 526 15370 526 15910 374 16290 57 16351 7 16366 63 16450 374 16830 57 16891 7 16906 63 16990 374 17370 57 17431 7 17446 63 17530 374 17910 57 17971 7 17986 63 18070 367 18452 59 18528 57 18610 367 18992 59 19068 57 19150 367 19532 59 19608 57 19690 367 20072 59 20148 57 20230 367 20621 50 20688 59 20770 367 21161 50 21228 59 21310 367 21701 50 21768 59 21850 367 22241 50 22308 59 22390 372 22783 50 22848 59 22930 372 23323 50 23388 59 23470 372 23863 50 23928 59 24010 376 24403 57 24470 45 24521 4 24550 376 24943 57 25010 45 25061 4 25090 376 25483 57 25550 45 25601 4 25630 376 26023 57 26090 45 26141 4 26170 448 26628 13 26645 8 26660 4 26710 448 27168 13 27185 8 27200 4 27250 448 27708 13 27725 8 27740 4 27790 448 28248 13 28265 8 28280 4 28330 445 28784 17 28805 6 28870 445 29324 17 29345 6 29410 445 29864 17 29885 6 29950 445 30404 17 30425 6 30490 471 30963 19 31030 471 31503 19 31570 471 32043 19 32110 473 32585 17 32650 473 33125 17 33190 473 33665 17 33730 473 34205 17 34270 492 34813 489 35353 489 35893 489 36433 487 36973 487 37513 487 38053 487 38593 487 39133 487 39673 487 40213 487 40753 487 41293 487 41833 487 42373 483 42913 483 43453 483 43993 483 44533 480 45070 483 45610 483 46150 483 46690 486 47228 488 47768 488 48308 492 48846 494 49386 494 49926 494 50466 494 51004 496 51544 496 52084 496 52624 494 53164 494 53704 494 54244 494 54784 511 55322 293 55617 218 55862 293 56157 218 56402 293 56697 213 56942 287 57237 213 57482 287 57777 213 58022 287 58317 213 58562 287 58857 213 59100 287 59395 215 59640 287 59935 215 60180 287 60475 215 60720 287 61015 230 61260 525 61800 525 62340 525 62880 523 63418 525 63958 525 64498 527 65038 527 65578 527 66118 527 66658 292003 358665 536 359205 536 359745 536 360285 536 360825 536 361365 536 361905 536 362445 18358 380805 538 381345 538 381885 538 382425 538 382965 538 383505 538 384045 538 384585 6478 391065 538 391605 538 392145 538 392685 529 393225 529 393765 529 394305 529 394845 529 395379 27 395416 498 395919 27 395956 498 396459 27 396496 526 397034 528 397574 528 398114 528 398654 528 399194 528 399734 528 400274 528 400814 530 401359 525 401899 525 402439 525 402979 525 403523 521 404063 521 404603 523 405143 523 405683 523 406223 523 406763 523 407303 523 407843 523 408383 523 408923 529 409461 531 410001 531 410541 531 411081 535 411623 533 412163 533 412703 45316 458023 536 458563 536 459103 536 459643 58758
0004,1 222 246 517 786 517 1326 517 1866 517 2406 517 2946 517 3486 517 4026 521 4566 521 5106 521 5646 521 6186 519 6728 517 7268 517 7808 521 8355 514 8895 514 9435 514 9975 514 10515 514 11055 514 11595 514 12135 362 12508 124 12637 2 12673 364 13048 124 13177 2 13213 364 13588 124 13717 2 13753 364 14128 124 14257 2 14293 362 14672 74 14748 44 14833 362 15212 74 15288 44 15373 362 15752 74 15828 44 15913 369 16299 56 16366 55 16455 367 16839 56 16906 55 16995 367 17379 56 17446 55 17535 367 17919 56 17986 55 18075 369 18454 61 18518 25 18547 4 18556 12 18572 17 18617 367 18994 61 19058 25 19087 4 19096 12 19112 17 19157 367 19534 61 19598 25 19627 4 19636 12 19652 17 19697 367 20074 61 20138 25 20167 4 20176 12 20192 17 20237 436 20678 38 20735 4 20747 2 20775 438 21218 38 21275 4 21287 2 21315 438 21758 38 21815 4 21827 2 21855 438 22298 38 22355 4 22367 2 22395 438 22840 36 22933 440 23380 36 23473 440 23920 36 24013 440 24460 38 24553 440 25000 38 25093 440 25540 38 25633 440 26080 38 26173 440 26618 2 26628 32 26662 4 26710 443 27158 2 27168 32 27202 4 27250 443 27698 2 27708 32 27742 4 27790 443 28238 2 28248 32 28282 4 28330 443 28788 32 28868 445 29328 32 29408 445 29868 32 29948 445 30408 32 30488 441 30948 32 31001 6 31026 443 31488 32 31541 6 31566 443 32028 32 32081 6 32106 456 32568 36 32608 17 32638 464 33108 36 33148 17 33178 464 33648 36 33688 17 33718 464 34188 36 34228 17 34258 466 34728 55 34794 470 35268 55 35334 470 35808 55 35874 470 36348 55 36414 470 36886 55 36949 475 37426 55 37489 475 37966 55 38029 475 38506 55 38569 534 39105 538 39645 538 40185 8634 48821 538 49361 538 49901 538 50441 310365 360816 530 361356 530 361896 530 362436 532 362974 534 363514 534 364054 29154 393219 529 393759 529 394299 529 394839 533 395374 538 395914 538 396454 4881 401348 527 401888 527 402428 527 402968 527 403508 527 404048 527 404588 527 405128 527 405668 527 406208 527 406748 530 407288 530 407828 530 408368 530 408908 530 409450 528 409990 528 410530 528 411070 528 411610 528 412150 528 412690 530 413228 11 413241 519 413768 11 413781 519 414308 11 414321 519 414848 11 414861 535 415401 535 415941 535 416481 535 417021 2698 419723 536 420263 536 420803 35072 455878 537 456418 537 456958 537 457498 514 458014 13 458040 512 458554 13 458580 512 459094 13 459120 512 459634 13 459660 510 460176 11 460200 510 460716 11 460740 510 461256 11 461280 525 461818 527 462358 527 462898 527 463438 529 463969 538 464509 538 465049 538 465589 52812
0005,1 6556 6564 533 7104 533 7644 527 8186 525 8726 525 9266 525 9806 531 10350 527 10890 527 11430 527 11970 532 12514 528 13054 528 13594 528 14134 528 14666 536 15206 536 15746 169041 184789 538 185329 538 185869 538 186409 538 186949 538 187489 538 188029 207335 395372 532 395912 532 396452 8655 405126 521 405666 521 406206 521 406746 523 407286 523 407826 523 408366 523 408906 523 409448 521 409988 521 410528 521 411068 523 411612 519 412152 519 412692 519 413234 517 413774 517 414314 517 414854 519 415394 519 415934 519 416474 519 417014 521 417548 527 418088 527 418628 527 419168 44778 463950 536 464490 536 465030 536 465570 52831
0006,1 2232 2235 538 2775 538 3315 538 3855 538 4402 531 4942 531 5482 531 6022 533 6564 531 7104 531 7644 158762 166408 538 166948 538 167488 538 168028 12435 180465 538 181005 538 181545 538 182085 536 182625 536 183165 536 183705 536 184245 536 184787 534 185327 534 185867 534 186405 536 186945 536 187485 536 188025 174937 362970 532 363510 532 364050 534 364588 536 365128 536 365668 536 366208 29156 395372 532 395912 532 396452 12981 409442 531 409982 531 410522 531 411062 527 411602 527 412142 527 412682 527 413222 527 413762 527 414302 527 414842 527 415382 527 415922 527 416462 527 417002 527 417546 523 418086 523 418626 523 419166 525 419708 523 420248 523 420788 523 421328 523 421868 523 422408 523 422948 525 423486 527 424026 527 424566 527 425106 38838 463952 532 464492 532 465032 532 465572 532 466112 532 466652 532 467192 532 467732 50669
0007,1 178300 178303 538 178843 538 179383 538 179923 538 180465 536 181005 536 181545 536 182085 536 182625 536 183165 536 183705 536 184245 538 184785 538 185325 538 185865 178715 364586 534 365126 534 365666 534 366206 49163 415382 527 415922 527 416462 527 417002 525 417540 527 418080 527 418620 527 419160 527 419700 527 420240 527 420780 529 421318 531 421858 531 422398 531 422938 531 423475 534 424015 534 424555 534 425095 536 425633 538 426173 538 426713 538 427253 549 427808 534 428348 534 428888 39374 468268 534 468808 534 469348 49053
0008,1 103822 103825 538 104365 538 104905 536 105447 534 105987 534 106527 534 107067 534 107607 534 108147 534 108687 534 109227 243473 352702 538 353242 538 353782 538 354322 10258 364586 534 365126 534 365666 534 366206 536 366746 536 367286 536 367826 536 368366 26998 395368 536 395908 536 396448 529 396988 529 397528 529 398068 529 398608 536 399146 538 399686 538 400226 538 400766 20539 421318 527 421858 527 422398 527 422938 525 423475 528 424015 528 424555 528 425095 528 425638 525 426178 525 426718 525 427258 525 427798 525 428338 525 428878 525 429420 523 429960 523 430500 523 431040 525 431580 525 432120 525 432660 525 433200 525 433746 519 434286 519 434826 519 435366 521 435906 521 436446 521 436986 523 437522 527 438062 527 438602 527 439142 529 439675 536 440215 536 440755 536 441295 28585 469888 532 470428 532 470968 532 471508 532 472048 532 472588 532 473128 532 473668 44733
0009,1 93560 93571 530 94111 530 94651 530 95191 528 95733 526 96273 526 96813 526 97353 526 97893 526 98433 526 98973 526 99511 528 100051 528 100591 528 101131 530 101671 530 102211 530 102751 530 103291 530 103829 532 104369 532 104909 2683 107594 538 108134 538 108674 538 109214 547 109763 538 110303 538 110843 538 111383 533 111923 533 112463 533 113003 533 113541 535 114081 535 114621 535 115161 84088 199253 536 199793 536 200333 536 200873 534 201411 536 201951 536 202491 12943 215436 538 215976 538 216516 538 217056 2175 219233 538 219773 538 220313 538 220853 12943 233803 533 234343 533 234883 533 235433 523 235973 523 236513 523 237053 534 237591 536 238131 536 238671 536 239211 4314 243531 534 244071 534 244611 534 245151 536 245693 534 246233 534 246773 534 247313 44818 292135 536 292675 536 293215 536 293755 58938 352697 536 353237 536 353777 536 354317 534 354857 534 355397 534 355937 8636 364575 538 365115 538 365655 538 366195 536 366744 527 367284 527 367824 527 368364 529 368897 536 369437 536 369977 536 370517 55116 425638 535 426178 535 426718 535 427258 525 427800 523 428340 523 428880 521 429420 521 429960 521 430500 521 431040 521 431578 523 432118 523 432658 523 433198 523 433735 526 434275 526 434815 526 435355 528 435895 528 436435 528 436975 528 437515 528 438055 528 438595 528 439135 530 439675 530 440215 530 440755 530 441295 530 441838 4 441844 521 442378 4 442384 521 442918 4 442924 521 443458 4 443464 523 444000 2 444004 523 444540 2 444544 523 445080 2 445084 525 445615 534 446155 534 446695 534 447235 26962 474208 529 474748 529 475288 529 475828 538 476368 538 476908 538 477448 40953
0010,1 395403 395406 538 395946 538 396486 2651 399144 533 399684 533 400224 533 400764 538 401304 538 401844 538 402384 538 402924 30801 433735 530 434275 530 434815 530 435355 526 435895 526 436435 526 436975 524 437518 521 438058 521 438598 521 439138 521 439678 521 440218 521 440758 521 441298 523 441835 526 442375 526 442915 526 443455 526 443995 526 444535 526 445075 528 445618 525 446158 525 446698 525 447238 525 447784 519 448324 519 448864 519 449404 521 449946 519 450486 519 451026 519 451566 523 452106 523 452646 523 453186 525 453720 531 454260 531 454800 531 455340 16750 472092 538 472632 538 473172 538 473712 44689
